// this table contains the object information (ID, Name, position from left, position from top,
// width of the icon (always 480 in this sample), height of the icon (idem) )
680640;Alex;1935;495;480;480
573293;Brenda;1155;2700;480;480
157116;Charlie;2115;2670;480;480
845588;Dave;3195;2700;480;480
588155;Emilio;4980;4005;480;480
715906;Farah;330;4500;480;480
57415;Gaelle;1770;4380;480;480
229422;Harry;8280;4845;480;480
871055;India;5640;4995;480;480
908939;Juliet;7470;1395;480;480
352341;Kelly;10560;5310;480;480
843500;Mel;5205;2295;480;480
564024;Naomi;7515;2820;480;480
507844;Oswald;10560;1980;480;480
866189;Pete;5205;375;480;480
877701;Quentin;3600;4920;480;480
358406;Romeo;8265;1410;480;480
823412;Steve;4770;6915;480;480
107152;Tango;660;7110;480;480
32558;Ursula;14985;6660;480;480
553671;Victor;12225;4500;480;480
824683;Wesley;9555;6825;480;480
269704;Xander;7515;7755;480;480
269191;Youri;14325;3945;480;480
889901;Zora;10530;3540;480;480
